Block Size, Number of Trials, Max Performance, Avg Performance
16, 16384, 488.549652, 488.549652
16, 32768, 1068.893555, 1068.893555
16, 65536, 1206.835571, 1206.835571
16, 131072, 1400.341919, 1400.341919
16, 262144, 1212.013550, 1212.013550
16, 524288, 1558.451416, 1558.451416
16, 1048576, 1767.803223, 1767.803223
32, 16384, 516.129028, 516.129028
32, 32768, 1486.211914, 1486.211914
32, 65536, 1976.833984, 1976.833984
32, 131072, 2344.590576, 2344.590576
32, 262144, 1707.378052, 1707.378052
32, 524288, 2411.894775, 2411.894775
32, 1048576, 3032.950684, 3032.950684
64, 16384, 484.848480, 484.848480
64, 32768, 1452.482300, 1452.482300
64, 65536, 715.833679, 715.833679
64, 131072, 1159.354736, 1159.354736
64, 262144, 1850.881104, 1850.881104
64, 524288, 2419.731201, 2419.731201
64, 1048576, 3095.408936, 3095.408936
128, 16384, 516.129028, 516.129028
128, 32768, 431.885315, 431.885315
128, 65536, 702.813965, 702.813965
128, 131072, 1141.264893, 1141.264893
128, 262144, 1733.023071, 1733.023071
128, 524288, 2406.580322, 2406.580322
128, 1048576, 3113.053467, 3113.053467
