Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 203.295615, 183.945319, 128.902204, 111.196183
2048, 416.006480, 375.365833, 208.045673, 173.369476
4096, 627.066220, 606.886676, 308.875305, 304.569077
8192, 777.452097, 688.122718, 339.395950, 296.586770
16384, 1061.070614, 989.576344, 441.236602, 412.493263
24576, 1303.145002, 1058.854724, 533.437354, 422.449787
35840, 1560.363634, 1410.482957, 626.452952, 544.355992
49152, 1807.257775, 1685.445365, 716.637378, 687.774782
65536, 2036.226546, 1878.365881, 806.894839, 735.256218
102400, 2440.535609, 2334.548606, 965.181842, 928.152161
204800, 2478.099024, 1970.819131, 968.358113, 723.907710
307200, 2481.782567, 2282.131998, 969.776539, 872.972445
409600, 2480.079418, 2249.495421, 970.402260, 858.099561
512000, 2481.738220, 2407.621642, 970.954787, 939.347054
614400, 2477.829102, 2369.525361, 970.347865, 944.032681
716800, 2456.325550, 2318.997936, 968.563564, 923.361365
819200, 2449.401881, 2290.419637, 967.767842, 915.178484
1048576, 2396.997168, 2285.796776, 959.942600, 939.315989
2097152, 2275.358017, 2163.274836, 943.793245, 889.213343
4194304, 2239.790860, 2173.725717, 942.345401, 925.848102
6291456, 2217.897290, 2182.441989, 940.332874, 928.912465
8388608, 2211.060879, 2168.103978, 937.642991, 920.091529
