Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 989.381140, 781.929067, 733.512041, 662.692965
2048, 1732.665506, 1481.294014, 1149.910028, 1042.333766
4096, 2736.113855, 2542.701863, 1496.538657, 1399.239263
8192, 3711.823197, 3507.571515, 1840.066527, 1739.799295
16384, 4397.222032, 4213.480361, 2025.969091, 1930.496018
24576, 4621.288440, 4529.161441, 2057.430262, 2006.493359
49152, 5001.732134, 4804.965813, 2126.318662, 2061.483517
65536, 5068.527574, 4907.595829, 2143.942361, 2089.028271
102400, 5670.618322, 5160.270627, 2192.485538, 2041.752440
256000, 5783.220306, 4865.225496, 2187.940788, 2033.341317
512000, 5668.984693, 4935.871725, 2213.020611, 2029.623468
1048576, 5216.562178, 4394.258036, 2214.418764, 1950.482416
2097152, 4767.793494, 4096.294158, 2213.612372, 2075.436790
4194304, 4010.372331, 3743.204218, 2212.630277, 2122.484974
6291456, 3794.491132, 3586.137976, 2211.436853, 2142.730660
8388608, 3655.988881, 3526.431735, 2208.968315, 2113.087203
