Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 148.793779, 141.495043, 73.489398, 70.161709
2048, 971.997682, 648.934962, 438.262515, 293.297394
4096, 1089.653667, 1066.839589, 460.639973, 445.952345
8192, 1160.008806, 1022.432967, 472.270281, 409.847818
16384, 1203.730728, 1184.061705, 479.050080, 478.363879
24576, 1220.378344, 1214.749919, 481.816269, 479.049669
35840, 1223.166073, 1180.759190, 482.531242, 461.098579
49152, 1229.844745, 1225.554697, 483.660574, 480.533715
65536, 1263.588041, 1218.846691, 495.392640, 473.810265
102400, 1266.542911, 1220.070931, 495.876577, 475.239526
204800, 1246.439590, 1219.989508, 485.694762, 476.821616
307200, 1248.019589, 1208.378799, 485.998282, 474.051938
409600, 1251.512516, 1207.867523, 497.088580, 480.705251
512000, 1273.394249, 1223.810941, 497.198414, 483.552684
614400, 1271.041758, 1225.295924, 497.129609, 487.034724
716800, 1263.092609, 1213.759723, 496.151506, 485.197578
819200, 1256.873518, 1204.969732, 495.096476, 484.630214
1048576, 1206.646706, 1158.065032, 489.398305, 476.791473
2097152, 1175.119972, 1154.453851, 480.390955, 474.394007
4194304, 1168.050317, 1144.498026, 479.808273, 474.690407
6291456, 1161.613159, 1142.021341, 479.840970, 473.738541
8388608, 1160.416187, 1145.196184, 479.980271, 475.544988
