Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 186.691139, 154.058283, 152.041467, 127.052382
2048, 345.595357, 281.940542, 212.912153, 188.873858
4096, 495.825145, 447.333261, 264.291782, 249.022286
8192, 644.886675, 581.448614, 306.564190, 287.922712
16384, 709.786280, 678.591569, 329.048861, 310.136636
24576, 747.763753, 698.531799, 338.979315, 303.968802
49152, 786.595601, 755.026992, 348.299340, 317.012198
65536, 856.176162, 760.308798, 340.652024, 309.615998
102400, 824.058682, 709.269497, 340.749530, 317.875377
256000, 2236.764746, 1730.168670, 942.670166, 730.919574
512000, 3692.485465, 3075.656127, 1542.554351, 1304.519350
1048576, 3897.849460, 3711.821171, 1663.168204, 1640.040214
2097152, 3716.134283, 3549.557920, 1663.293550, 1647.867254
4194304, 3574.585251, 3393.646679, 1665.432705, 1657.345460
6291456, 3397.598766, 3307.816045, 1664.612876, 1651.486178
8388608, 3331.941003, 3242.021747, 1664.256104, 1659.359913
